"ID" "stres" "glazba"
9 69 "Horror"
9 72 "Horror"
9 7 "Disney"
9 7 "Drama"
9 79 "Disney"
9 35 "Horror"
9 24 "Disney"
9 19 "Disney"
9 80 "Horror"
9 83 "Disney"
9 2 "Drama"
9 68 "Drama"
9 66 "Horror"
9 95 "Disney"
10 72 "Horror"
10 48 "Disney"
10 2 "Horror"
10 24 "Horror"
10 38 "Horror"
10 82 "Horror"
10 72 "Disney"
10 16 "Drama"
10 14 "Horror"
10 56 "Disney"
10 48 "Horror"
10 93 "Drama"
10 76 "Disney"
10 83 "Drama"
10 18 "Drama"
10 99 "Drama"
10 14 "Horror"
10 75 "Disney"
10 62 "Disney"
10 23 "Disney"
11 14 "Disney"
11 27 "Drama"
11 25 "Disney"
11 27 "Disney"
11 95 "Horror"
11 71 "Horror"
11 6 "Drama"
11 85 "Disney"
11 22 "Horror"
11 29 "Drama"
11 87 "Horror"
11 15 "Drama"
11 36 "Drama"
11 56 "Disney"
11 16 "Disney"
11 30 "Disney"
11 31 "Disney"
11 62 "Horror"
11 42 "Drama"
11 60 "Horror"
12 7 "Drama"
12 6 "Disney"
12 50 "Horror"
12 99 "Drama"
12 32 "Disney"
12 68 "Disney"
12 1 "Horror"
12 5 "Drama"
12 54 "Disney"
12 75 "Horror"
12 9 "Disney"
12 37 "Horror"
12 32 "Horror"
12 58 "Drama"
12 38 "Disney"
12 76 "Drama"
12 60 "Horror"
12 39 "Disney"
12 30 "Drama"
12 44 "Drama"
13 90 "Disney"
13 16 "Horror"
13 74 "Disney"
13 29 "Horror"
13 76 "Disney"
13 6 "Horror"
13 24 "Drama"
13 90 "Horror"
13 45 "Disney"
13 21 "Horror"
13 70 "Disney"
13 1 "Horror"
13 30 "Disney"
13 39 "Drama"
13 7 "Horror"
13 40 "Disney"
13 43 "Horror"
13 25 "Disney"
13 38 "Disney"
13 4 "Horror"
14 37 "Drama"
14 18 "Drama"
14 36 "Drama"
14 76 "Disney"
14 71 "Disney"
14 97 "Horror"
14 82 "Horror"
14 41 "Horror"
14 70 "Disney"
14 27 "Drama"
14 8 "Disney"
14 25 "Drama"
14 58 "Horror"
14 79 "Horror"
14 29 "Disney"
14 50 "Disney"
14 96 "Disney"
14 70 "Horror"
14 57 "Horror"
14 39 "Horror"
15 95 "Disney"
15 3 "Disney"
15 29 "Disney"
15 13 "Disney"
15 90 "Disney"
15 56 "Drama"
15 26 "Horror"
15 5 "Drama"
15 63 "Disney"
15 41 "Disney"
15 91 "Drama"
15 100 "Drama"
15 43 "Drama"
15 12 "Disney"
15 94 "Disney"
15 24 "Disney"
15 81 "Disney"
15 97 "Disney"
15 88 "Drama"
15 67 "Disney"
16 3 "Horror"
16 70 "Drama"
16 27 "Drama"
16 34 "Horror"
16 36 "Disney"
16 19 "Horror"
16 83 "Horror"
16 40 "Disney"
16 45 "Horror"
16 44 "Disney"
16 60 "Disney"
16 78 "Horror"
16 4 "Drama"
16 87 "Horror"
16 56 "Disney"
16 41 "Drama"
16 5 "Drama"
16 89 "Horror"
16 31 "Horror"
16 34 "Horror"
17 3 "Disney"
17 54 "Horror"
17 43 "Disney"
17 46 "Horror"
17 1 "Horror"
17 1 "Drama"
17 65 "Horror"
17 52 "Drama"
17 13 "Drama"
17 45 "Drama"
17 14 "Horror"
17 25 "Disney"
17 8 "Horror"
17 50 "Disney"
17 82 "Horror"
17 55 "Disney"
17 15 "Drama"
17 13 "Disney"
17 16 "Disney"
17 87 "Drama"
18 15 "Horror"
18 28 "Disney"
18 21 "Drama"
18 17 "Disney"
18 20 "Drama"
18 74 "Horror"
18 97 "Disney"
18 4 "Horror"
18 22 "Drama"
18 27 "Disney"
18 91 "Horror"
18 84 "Disney"
18 29 "Horror"
18 39 "Horror"
18 49 "Drama"
18 74 "Drama"
18 72 "Horror"
18 67 "Drama"
18 93 "Disney"
18 99 "Disney"
19 38 "Horror"
19 68 "Horror"
19 42 "Drama"
19 17 "Horror"
19 48 "Horror"
19 15 "Disney"
19 22 "Drama"
19 51 "Horror"
19 87 "Horror"
19 37 "Disney"
19 14 "Horror"
19 37 "Horror"
19 47 "Disney"
19 24 "Disney"
19 35 "Drama"
19 49 "Disney"
19 51 "Disney"
19 95 "Disney"
19 74 "Drama"
19 97 "Drama"
20 27 "Disney"
20 50 "Drama"
20 24 "Drama"
20 37 "Drama"
20 93 "Disney"
20 21 "Disney"
20 17 "Drama"
20 27 "Drama"
20 92 "Disney"
20 64 "Drama"
20 53 "Disney"
20 50 "Disney"
20 17 "Drama"
20 16 "Horror"
20 19 "Drama"
20 40 "Horror"
20 40 "Horror"
20 52 "Disney"
20 11 "Drama"
20 13 "Disney"
21 12 "Horror"
21 93 "Disney"
21 78 "Horror"
21 7 "Horror"
21 60 "Horror"
21 13 "Drama"
21 46 "Disney"
21 89 "Horror"
21 52 "Drama"
21 16 "Disney"
21 52 "Horror"
21 44 "Drama"
21 58 "Disney"
21 31 "Disney"
21 28 "Disney"
21 58 "Horror"
21 69 "Horror"
21 96 "Drama"
21 77 "Drama"
21 27 "Drama"
22 26 "Horror"
22 17 "Drama"
22 9 "Disney"
22 93 "Drama"
22 48 "Horror"
22 78 "Drama"
22 35 "Horror"
22 29 "Horror"
22 72 "Horror"
22 72 "Disney"
22 18 "Drama"
22 18 "Disney"
22 95 "Drama"
22 56 "Disney"
22 51 "Drama"
22 50 "Disney"
22 96 "Disney"
22 73 "Drama"
22 96 "Horror"
22 42 "Drama"
23 71 "Disney"
23 35 "Horror"
23 44 "Drama"
23 94 "Disney"
23 3 "Drama"
23 22 "Disney"
23 20 "Disney"
23 32 "Disney"
23 36 "Horror"
23 88 "Disney"
23 24 "Horror"
23 75 "Disney"
23 89 "Drama"
23 84 "Horror"
23 78 "Disney"
23 21 "Horror"
23 22 "Disney"
23 1 "Drama"
23 16 "Disney"
23 17 "Disney"
24 25 "Horror"
24 6 "Disney"
24 86 "Disney"
24 10 "Disney"
24 13 "Horror"
24 94 "Disney"
24 33 "Disney"
24 89 "Horror"
24 53 "Disney"
24 80 "Drama"
24 40 "Horror"
24 50 "Drama"
24 14 "Drama"
24 24 "Horror"
24 91 "Disney"
24 98 "Horror"
24 31 "Horror"
24 14 "Drama"
24 54 "Disney"
24 65 "Horror"
25 98 "Drama"
25 79 "Horror"
25 7 "Horror"
25 99 "Drama"
25 61 "Drama"
25 92 "Disney"
25 96 "Horror"
25 74 "Drama"
25 12 "Disney"
25 29 "Disney"
25 4 "Drama"
25 61 "Disney"
25 23 "Drama"
25 40 "Drama"
25 60 "Drama"
25 39 "Drama"
25 20 "Horror"
25 51 "Disney"
25 83 "Disney"
25 49 "Disney"
26 95 "Horror"
26 87 "Drama"
26 35 "Drama"
26 47 "Horror"
26 75 "Disney"
26 75 "Disney"
26 92 "Disney"
26 74 "Disney"
26 38 "Disney"
26 89 "Drama"
26 79 "Disney"
26 6 "Horror"
26 31 "Disney"
26 71 "Horror"
26 27 "Disney"
26 54 "Horror"
26 73 "Horror"
26 56 "Drama"
26 89 "Disney"
26 77 "Drama"
27 38 "Horror"
27 59 "Drama"
27 99 "Horror"
27 95 "Drama"
27 6 "Horror"
27 40 "Drama"
27 82 "Disney"
27 64 "Disney"
27 46 "Drama"
27 17 "Drama"
27 70 "Horror"
27 81 "Horror"
27 62 "Horror"
27 61 "Disney"
27 13 "Horror"
27 50 "Drama"
27 21 "Disney"
27 73 "Horror"
27 62 "Horror"
27 31 "Disney"
28 71 "Drama"
28 40 "Disney"
28 31 "Disney"
28 1 "Disney"
28 21 "Horror"
28 92 "Drama"
28 60 "Drama"
28 43 "Horror"
28 89 "Disney"
28 38 "Drama"
28 83 "Disney"
28 75 "Disney"
28 43 "Disney"
28 15 "Horror"
28 49 "Disney"
28 5 "Horror"
28 82 "Drama"
28 8 "Disney"
28 4 "Horror"
28 67 "Horror"
29 40 "Drama"
29 45 "Horror"
29 26 "Horror"
29 1 "Disney"
29 91 "Horror"
29 41 "Horror"
29 42 "Disney"
29 91 "Disney"
29 6 "Drama"
29 76 "Disney"
29 12 "Disney"
29 49 "Drama"
29 4 "Horror"
29 64 "Drama"
29 28 "Disney"
29 28 "Drama"
29 92 "Horror"
29 31 "Drama"
29 16 "Disney"
29 33 "Horror"
30 86 "Drama"
30 100 "Drama"
30 19 "Drama"
30 12 "Drama"
30 4 "Horror"
30 97 "Horror"
30 33 "Drama"
30 22 "Horror"
30 31 "Horror"
30 5 "Disney"
30 37 "Disney"
30 39 "Disney"
30 78 "Drama"
30 10 "Disney"
30 37 "Horror"
30 30 "Disney"
30 88 "Horror"
30 82 "Horror"
30 64 "Disney"
30 35 "Horror"
31 63 "Horror"
31 38 "Horror"
31 38 "Drama"
31 20 "Disney"
31 3 "Horror"
31 90 "Drama"
31 16 "Drama"
31 24 "Disney"
31 9 "Drama"
31 25 "Disney"
31 17 "Disney"
31 44 "Horror"
31 10 "Horror"
31 2 "Disney"
31 52 "Drama"
31 70 "Drama"
31 70 "Drama"
31 95 "Drama"
31 46 "Disney"
31 90 "Drama"
32 28 "Drama"
32 62 "Disney"
32 91 "Drama"
32 22 "Drama"
32 56 "Horror"
32 84 "Drama"
32 36 "Horror"
32 8 "Disney"
32 99 "Horror"
32 86 "Disney"
32 39 "Horror"
32 63 "Horror"
32 81 "Drama"
32 43 "Drama"
32 25 "Horror"
32 46 "Disney"
32 69 "Drama"
32 62 "Horror"
32 50 "Disney"
32 5 "Horror"
33 22 "Horror"
33 93 "Disney"
33 10 "Drama"
33 45 "Horror"
33 23 "Drama"
33 22 "Drama"
33 37 "Horror"
33 79 "Drama"
33 1 "Horror"
33 55 "Horror"
33 12 "Drama"
33 82 "Horror"
33 50 "Drama"
33 80 "Horror"
33 32 "Horror"
33 72 "Drama"
33 35 "Disney"
33 46 "Horror"
33 69 "Horror"
33 4 "Drama"
34 61 "Disney"
34 70 "Horror"
34 58 "Horror"
34 17 "Drama"
34 56 "Disney"
34 52 "Drama"
34 63 "Drama"
34 78 "Drama"
34 91 "Horror"
34 79 "Disney"
34 85 "Horror"
34 9 "Disney"
34 48 "Drama"
34 78 "Disney"
34 61 "Disney"
34 98 "Drama"
34 86 "Horror"
34 16 "Disney"
34 34 "Horror"
34 32 "Horror"
35 89 "Disney"
35 42 "Drama"
35 98 "Horror"
35 82 "Horror"
35 25 "Horror"
35 52 "Disney"
35 47 "Horror"
35 37 "Horror"
35 27 "Horror"
35 78 "Drama"
35 26 "Disney"
35 58 "Drama"
35 73 "Horror"
35 65 "Disney"
35 31 "Disney"
35 74 "Drama"
35 17 "Drama"
35 51 "Horror"
35 88 "Drama"
35 96 "Drama"
36 45 "Disney"
36 50 "Horror"
36 31 "Horror"
36 71 "Horror"
36 46 "Drama"
36 90 "Horror"
36 3 "Drama"
36 17 "Drama"
36 98 "Disney"
36 94 "Horror"
36 1 "Drama"
36 95 "Horror"
36 38 "Drama"
36 62 "Disney"
36 90 "Disney"
36 12 "Horror"
36 74 "Horror"
36 10 "Disney"
36 84 "Horror"
36 88 "Drama"
37 67 "Drama"
37 41 "Disney"
37 36 "Horror"
37 74 "Disney"
37 11 "Disney"
37 57 "Disney"
37 77 "Drama"
37 1 "Drama"
37 89 "Drama"
37 93 "Drama"
37 8 "Disney"
37 83 "Drama"
37 56 "Drama"
37 39 "Horror"
37 16 "Drama"
37 88 "Disney"
37 8 "Horror"
37 5 "Horror"
37 25 "Horror"
37 87 "Drama"
38 31 "Drama"
38 44 "Horror"
38 49 "Horror"
38 45 "Disney"
38 56 "Drama"
38 77 "Drama"
38 5 "Disney"
38 80 "Horror"
38 38 "Drama"
38 51 "Disney"
38 6 "Horror"
38 76 "Drama"
38 96 "Horror"
38 99 "Horror"
38 34 "Horror"
38 44 "Disney"
38 51 "Disney"
38 33 "Drama"
38 73 "Disney"
38 61 "Disney"
39 64 "Horror"
39 58 "Drama"
39 47 "Disney"
39 78 "Drama"
39 81 "Disney"
39 67 "Horror"
39 85 "Horror"
39 31 "Horror"
39 70 "Drama"
39 25 "Disney"
39 8 "Horror"
39 88 "Drama"
39 94 "Drama"
39 35 "Disney"
39 73 "Drama"
39 34 "Drama"
39 75 "Disney"
39 99 "Disney"
39 67 "Horror"
39 83 "Horror"
40 80 "Drama"
40 48 "Drama"
40 48 "Disney"
40 80 "Horror"
40 12 "Disney"
40 1 "Drama"
40 79 "Disney"
40 1 "Horror"
40 48 "Disney"
40 89 "Horror"
40 23 "Disney"
40 53 "Drama"
40 16 "Drama"
40 1 "Disney"
40 24 "Disney"
40 37 "Horror"
40 49 "Disney"
40 43 "Horror"
40 35 "Disney"
40 96 "Disney"
41 13 "Horror"
41 77 "Horror"
41 5 "Horror"
41 3 "Horror"
41 17 "Disney"
41 6 "Horror"
41 98 "Disney"
41 1 "Disney"
41 33 "Drama"
41 71 "Drama"
41 95 "Disney"
41 74 "Horror"
41 40 "Disney"
41 3 "Disney"
41 48 "Horror"
41 15 "Disney"
41 92 "Horror"
41 45 "Disney"
41 81 "Horror"
41 89 "Drama"
42 38 "Drama"
42 87 "Disney"
42 11 "Horror"
42 29 "Horror"
42 8 "Disney"
42 39 "Horror"
42 49 "Disney"
42 98 "Disney"
42 12 "Drama"
42 37 "Horror"
42 73 "Disney"
42 94 "Disney"
42 73 "Disney"
42 85 "Drama"
42 21 "Horror"
42 36 "Drama"
42 15 "Drama"
42 9 "Horror"
42 53 "Horror"
42 29 "Horror"
43 51 "Horror"
43 39 "Disney"
43 94 "Drama"
43 63 "Drama"
43 5 "Horror"
43 20 "Horror"
43 66 "Horror"
43 47 "Disney"
43 8 "Horror"
43 16 "Drama"
43 97 "Horror"
43 95 "Disney"
43 65 "Horror"
43 71 "Drama"
43 73 "Horror"
43 49 "Drama"
43 92 "Horror"
43 57 "Drama"
43 93 "Horror"
43 12 "Disney"
44 62 "Horror"
44 41 "Disney"
44 9 "Drama"
44 45 "Drama"
44 83 "Disney"
44 46 "Horror"
44 73 "Horror"
44 60 "Disney"
44 78 "Horror"
44 57 "Drama"
44 8 "Disney"
44 14 "Disney"
44 44 "Horror"
44 97 "Disney"
44 50 "Horror"
44 30 "Disney"
44 33 "Drama"
44 45 "Disney"
44 30 "Drama"
44 64 "Disney"
45 12 "Disney"
45 14 "Horror"
45 49 "Horror"
45 73 "Drama"
45 71 "Drama"
45 34 "Disney"
45 78 "Horror"
45 51 "Disney"
45 11 "Drama"
45 7 "Horror"
45 87 "Drama"
45 76 "Horror"
45 77 "Disney"
45 58 "Disney"
45 72 "Drama"
45 45 "Horror"
45 11 "Drama"
45 39 "Drama"
45 27 "Horror"
45 50 "Disney"
46 21 "Disney"
46 17 "Drama"
46 75 "Horror"
46 87 "Drama"
46 34 "Drama"
46 11 "Horror"
46 61 "Drama"
46 70 "Disney"
46 57 "Disney"
46 41 "Disney"
46 71 "Disney"
46 31 "Disney"
46 56 "Disney"
46 94 "Drama"
46 12 "Drama"
46 77 "Horror"
46 13 "Disney"
46 50 "Horror"
46 55 "Drama"
46 47 "Horror"
47 76 "Horror"
47 15 "Drama"
47 38 "Drama"
47 57 "Disney"
47 21 "Horror"
47 68 "Disney"
47 74 "Horror"
47 91 "Disney"
47 94 "Horror"
47 7 "Drama"
47 41 "Drama"
47 22 "Drama"
47 54 "Horror"
47 59 "Horror"
47 70 "Horror"
47 75 "Drama"
47 77 "Drama"
47 3 "Drama"
47 89 "Drama"
47 89 "Horror"
48 79 "Disney"
48 3 "Drama"
48 77 "Drama"
48 80 "Disney"
48 8 "Horror"
48 55 "Horror"
48 100 "Drama"
48 61 "Drama"
48 15 "Disney"
48 23 "Disney"
48 25 "Disney"
48 12 "Horror"
48 80 "Horror"
48 86 "Drama"
48 58 "Horror"
48 54 "Drama"
48 52 "Drama"
48 37 "Horror"
48 5 "Drama"
48 78 "Drama"
49 4 "Disney"
49 29 "Drama"
49 16 "Disney"
49 96 "Disney"
49 83 "Horror"
49 38 "Horror"
49 82 "Disney"
49 43 "Drama"
49 10 "Horror"
49 94 "Horror"
49 6 "Disney"
49 51 "Horror"
49 19 "Drama"
49 75 "Drama"
49 57 "Drama"
49 100 "Horror"
49 30 "Drama"
49 100 "Disney"
49 33 "Disney"
49 51 "Disney"
50 47 "Drama"
50 72 "Horror"
50 36 "Drama"
50 23 "Disney"
50 100 "Horror"
50 46 "Horror"
50 29 "Drama"
50 95 "Disney"
50 78 "Disney"
50 12 "Horror"
50 85 "Drama"
50 51 "Disney"
50 32 "Horror"
50 100 "Horror"
50 36 "Horror"
50 6 "Drama"
50 47 "Horror"
50 15 "Drama"
50 100 "Drama"
50 78 "Drama"
