"Default,""spolovi"",""zupanija"",""traj.rad.odn"",""izn.kre"",""udio.rate"",""br.cl"""
"1,""M"",""1"",""13"",""30000"",""25"",""2"""
"1,""M"",""3"",""7"",""35000"",""6"",""2"""
"1,""Z"",""6"",""6.5"",""45000"",""21"",""3"""
"1,""M"",""2"",""18.5"",""25000"",""17"",""1"""
"1,""M"",""8"",""16"",""85000"",""22"",""1"""
"1,""Z"",""9"",""7"",""30000"",""19"",""2"""
"0,""M"",""19"",""23"",""190000"",""14"",""0"""
"1,""M"",""4"",""14"",""75000"",""19"",""1"""
"0,""Z"",""20"",""6.5"",""45000"",""15"",""0"""
"1,""Z"",""6"",""22"",""105000"",""30"",""2"""
"1,""M"",""4"",""6.5"",""150000"",""9"",""1"""
"0,""M"",""21"",""13.5"",""30000"",""27"",""0"""
"1,""Z"",""18"",""5.5"",""85000"",""36"",""4"""
"1,""M"",""9"",""13"",""45000"",""26"",""4"""
"0,""Z"",""5"",""13"",""60000"",""15"",""0"""
"1,""M"",""4"",""10"",""65000"",""5"",""1"""
"1,""M"",""20"",""29"",""80000"",""13"",""0"""
"1,""M"",""20"",""13.5"",""75000"",""12"",""1"""
"1,""M"",""17"",""12.5"",""70000"",""34"",""2"""
"1,""M"",""12"",""24"",""25000"",""14"",""3"""
"1,""M"",""3"",""23"",""20000"",""33"",""1"""
"1,""M"",""19"",""20"",""35000"",""28"",""2"""
"1,""M"",""15"",""17"",""60000"",""22"",""3"""
"1,""M"",""1"",""12.5"",""60000"",""30"",""5"""
"1,""Z"",""17"",""6"",""30000"",""38"",""4"""
"1,""M"",""8"",""11"",""45000"",""15"",""2"""
"0,""M"",""8"",""10"",""20000"",""15"",""0"""
"0,""Z"",""3"",""4"",""95000"",""12"",""0"""
"1,""M"",""3"",""15.5"",""35000"",""22"",""4"""
"1,""Z"",""2"",""15"",""35000"",""32"",""1"""
"1,""Z"",""3"",""15"",""65000"",""17"",""1"""
"1,""Z"",""9"",""14"",""75000"",""13"",""1"""
"0,""Z"",""4"",""7"",""85000"",""8"",""0"""
"0,""M"",""17"",""25"",""120000"",""19"",""0"""
"1,""Z"",""2"",""21"",""240000"",""16"",""2"""
"1,""Z"",""19"",""17"",""65000"",""22"",""1"""
"0,""M"",""11"",""25"",""40000"",""10"",""0"""
"1,""M"",""19"",""9"",""30000"",""18"",""3"""
"1,""Z"",""16"",""12"",""60000"",""24"",""1"""
"1,""Z"",""19"",""27"",""40000"",""11"",""1"""
"0,""Z"",""19"",""23.5"",""85000"",""29"",""0"""
"1,""Z"",""5"",""9"",""60000"",""37"",""6"""
"1,""Z"",""6"",""17.5"",""80000"",""19"",""1"""
"1,""Z"",""4"",""9"",""10000"",""49"",""5"""
"1,""Z"",""18"",""14.5"",""75000"",""24"",""3"""
"1,""M"",""6"",""6.5"",""305000"",""24"",""2"""
"1,""M"",""11"",""4.5"",""80000"",""17"",""3"""
"1,""M"",""10"",""9"",""45000"",""26"",""5"""
"1,""Z"",""3"",""3"",""20000"",""14"",""3"""
"1,""Z"",""14"",""24"",""30000"",""22"",""3"""
"1,""Z"",""2"",""22"",""25000"",""11"",""1"""
"1,""Z"",""6"",""6"",""75000"",""26"",""2"""
"1,""M"",""1"",""3"",""1e+05"",""27"",""3"""
"1,""Z"",""3"",""8.5"",""85000"",""16"",""3"""
"0,""Z"",""1"",""9.5"",""60000"",""15"",""0"""
"0,""Z"",""16"",""11.5"",""80000"",""29"",""0"""
"1,""Z"",""16"",""23"",""60000"",""22"",""2"""
"1,""M"",""19"",""20.5"",""125000"",""24"",""2"""
"1,""Z"",""8"",""11.5"",""45000"",""17"",""1"""
"0,""M"",""4"",""11.5"",""85000"",""17"",""0"""
"1,""Z"",""7"",""3"",""60000"",""31"",""2"""
"1,""M"",""6"",""12.5"",""15000"",""18"",""1"""
"1,""Z"",""6"",""6.5"",""85000"",""24"",""1"""
"1,""Z"",""1"",""7.5"",""40000"",""11"",""1"""
"0,""Z"",""3"",""17"",""20000"",""13"",""0"""
"1,""Z"",""9"",""3"",""15000"",""26"",""3"""
"1,""Z"",""11"",""8.5"",""40000"",""16"",""2"""
"1,""Z"",""2"",""10"",""80000"",""41"",""5"""
"1,""Z"",""18"",""13.5"",""150000"",""18"",""1"""
"1,""Z"",""3"",""2.5"",""60000"",""42"",""4"""
"1,""Z"",""13"",""3"",""30000"",""35"",""2"""
"1,""Z"",""21"",""6"",""25000"",""18"",""4"""
"0,""Z"",""15"",""9"",""80000"",""15"",""0"""
"1,""Z"",""15"",""11"",""45000"",""28"",""1"""
"1,""M"",""4"",""10.5"",""30000"",""18"",""1"""
"0,""M"",""1"",""14.5"",""75000"",""27"",""0"""
"1,""M"",""3"",""10"",""10000"",""12"",""1"""
"1,""M"",""2"",""7.5"",""230000"",""24"",""1"""
"0,""Z"",""8"",""23"",""45000"",""8"",""0"""
"1,""M"",""6"",""5.5"",""55000"",""20"",""2"""
"1,""Z"",""21"",""24"",""40000"",""13"",""1"""
"0,""M"",""9"",""9"",""20000"",""12"",""0"""
"1,""Z"",""20"",""10"",""85000"",""20"",""3"""
"1,""M"",""15"",""13"",""30000"",""23"",""2"""
"1,""Z"",""16"",""27"",""60000"",""23"",""2"""
"1,""Z"",""19"",""15"",""35000"",""18"",""1"""
"1,""M"",""13"",""14"",""55000"",""9"",""2"""
"0,""Z"",""15"",""7.5"",""80000"",""13"",""0"""
"1,""M"",""7"",""5"",""360000"",""22"",""3"""
"1,""M"",""5"",""2.5"",""85000"",""17"",""1"""
"1,""M"",""21"",""21.5"",""35000"",""15"",""1"""
"1,""Z"",""7"",""11.5"",""120000"",""24"",""1"""
"1,""Z"",""3"",""2.5"",""35000"",""28"",""3"""
"1,""Z"",""11"",""27"",""80000"",""12"",""1"""
"1,""Z"",""7"",""23"",""45000"",""22"",""4"""
"1,""Z"",""5"",""12.5"",""40000"",""16"",""4"""
"0,""M"",""18"",""2.5"",""20000"",""15"",""0"""
"0,""Z"",""2"",""15"",""120000"",""20"",""0"""
"1,""Z"",""9"",""7.5"",""45000"",""22"",""1"""
"0,""M"",""18"",""10.5"",""65000"",""15"",""0"""
"0,""M"",""5"",""22.5"",""40000"",""8"",""0"""
"1,""M"",""3"",""22"",""1e+05"",""22"",""1"""
"0,""M"",""9"",""16.5"",""10000"",""10"",""0"""
"1,""Z"",""21"",""23"",""40000"",""10"",""1"""
"1,""M"",""1"",""8"",""250000"",""23"",""1"""
"0,""Z"",""10"",""4"",""30000"",""10"",""0"""
"1,""Z"",""20"",""4.5"",""150000"",""16"",""1"""
"1,""M"",""16"",""13"",""80000"",""38"",""4"""
"1,""Z"",""16"",""22"",""60000"",""24"",""3"""
"1,""Z"",""3"",""8.5"",""85000"",""28"",""3"""
"1,""M"",""4"",""4"",""40000"",""20"",""3"""
"1,""Z"",""2"",""7"",""105000"",""17"",""1"""
"1,""M"",""1"",""11"",""120000"",""22"",""1"""
"0,""Z"",""4"",""3.5"",""115000"",""10"",""0"""
"1,""Z"",""5"",""8.5"",""30000"",""27"",""5"""
"1,""Z"",""10"",""25"",""85000"",""25"",""2"""
"1,""Z"",""2"",""15"",""40000"",""40"",""6"""
"1,""Z"",""20"",""9.5"",""1e+05"",""26"",""2"""
"0,""M"",""3"",""13.5"",""95000"",""13"",""0"""
"1,""M"",""8"",""11.5"",""10000"",""15"",""4"""
"1,""Z"",""12"",""14.5"",""30000"",""14"",""2"""
"1,""M"",""4"",""5"",""75000"",""24"",""1"""
"1,""M"",""19"",""6"",""25000"",""30"",""2"""
"1,""M"",""7"",""9"",""30000"",""16"",""2"""
"1,""Z"",""21"",""11"",""20000"",""20"",""1"""
"1,""Z"",""16"",""15"",""10000"",""16"",""2"""
"1,""M"",""8"",""14.5"",""80000"",""22"",""2"""
"0,""M"",""16"",""12.5"",""45000"",""15"",""0"""
"0,""Z"",""12"",""25"",""35000"",""25"",""0"""
"1,""M"",""19"",""15"",""125000"",""47"",""6"""
"0,""M"",""16"",""7.5"",""15000"",""20"",""0"""
"1,""Z"",""12"",""13"",""35000"",""22"",""2"""
"1,""M"",""5"",""11"",""30000"",""12"",""0"""
"1,""M"",""5"",""27"",""45000"",""28"",""3"""
"1,""Z"",""6"",""26"",""60000"",""26"",""2"""
"1,""Z"",""8"",""5"",""60000"",""18"",""1"""
"1,""Z"",""7"",""6.5"",""10000"",""19"",""1"""
"1,""M"",""20"",""23.5"",""10000"",""9"",""1"""
"1,""Z"",""1"",""6"",""80000"",""16"",""1"""
"1,""M"",""15"",""22"",""45000"",""27"",""1"""
"0,""Z"",""19"",""8.5"",""120000"",""6"",""0"""
"1,""M"",""1"",""18.5"",""40000"",""18"",""2"""
"1,""M"",""1"",""17.5"",""40000"",""14"",""1"""
"1,""Z"",""16"",""3.5"",""60000"",""12"",""1"""
"1,""Z"",""2"",""7"",""10000"",""12"",""1"""
"1,""M"",""6"",""19"",""150000"",""22"",""1"""
"1,""Z"",""2"",""4"",""10000"",""28"",""3"""
"1,""Z"",""12"",""22"",""30000"",""11"",""2"""
"0,""Z"",""9"",""24"",""120000"",""9"",""0"""
"0,""Z"",""19"",""4.5"",""40000"",""33"",""0"""
"1,""M"",""7"",""8.5"",""80000"",""21"",""3"""
"0,""Z"",""15"",""12.5"",""10000"",""9"",""0"""
"1,""Z"",""11"",""20.5"",""65000"",""16"",""1"""
"1,""M"",""4"",""6"",""70000"",""17"",""2"""
"1,""Z"",""9"",""10.5"",""40000"",""30"",""1"""
"1,""M"",""6"",""17"",""15000"",""22"",""2"""
"1,""Z"",""10"",""11"",""25000"",""19"",""3"""
"1,""Z"",""21"",""6"",""125000"",""24"",""1"""
"1,""Z"",""2"",""7.5"",""35000"",""29"",""1"""
"0,""Z"",""2"",""4"",""25000"",""23"",""0"""
"1,""Z"",""14"",""21.5"",""20000"",""26"",""3"""
"1,""M"",""8"",""6.5"",""30000"",""15"",""1"""
"1,""M"",""20"",""9.5"",""45000"",""10"",""3"""
"1,""M"",""1"",""27"",""120000"",""17"",""2"""
"1,""Z"",""8"",""13.5"",""75000"",""26"",""3"""
"0,""Z"",""19"",""25.5"",""35000"",""16"",""0"""
"1,""M"",""1"",""5"",""45000"",""22"",""2"""
"1,""Z"",""5"",""21.5"",""80000"",""16"",""3"""
"1,""Z"",""1"",""22"",""35000"",""16"",""2"""
"0,""Z"",""17"",""20"",""80000"",""11"",""0"""
"1,""Z"",""6"",""23"",""125000"",""22"",""1"""
"1,""Z"",""15"",""21"",""35000"",""18"",""2"""
"1,""Z"",""1"",""14"",""105000"",""27"",""3"""
"1,""Z"",""3"",""4.5"",""60000"",""16"",""3"""
"1,""M"",""8"",""13"",""25000"",""10"",""1"""
"1,""Z"",""15"",""23"",""75000"",""40"",""5"""
"1,""M"",""18"",""18"",""35000"",""16"",""5"""
"1,""Z"",""15"",""8"",""85000"",""26"",""3"""
"1,""M"",""9"",""15"",""65000"",""15"",""1"""
"1,""Z"",""14"",""7"",""65000"",""4"",""2"""
"0,""M"",""16"",""13.5"",""25000"",""9"",""0"""
"1,""Z"",""4"",""27"",""120000"",""23"",""1"""
"0,""Z"",""6"",""5"",""1e+05"",""31"",""0"""
"1,""M"",""2"",""15"",""20000"",""15"",""1"""
"1,""M"",""7"",""6"",""45000"",""25"",""1"""
"1,""M"",""3"",""27"",""1e+05"",""23"",""1"""
"1,""Z"",""18"",""13.5"",""20000"",""27"",""2"""
"1,""Z"",""8"",""10.5"",""25000"",""35"",""2"""
"1,""M"",""21"",""23.5"",""85000"",""19"",""2"""
"1,""Z"",""1"",""10.5"",""15000"",""27"",""3"""
"1,""M"",""10"",""23"",""45000"",""23"",""2"""
"0,""M"",""2"",""11"",""60000"",""15"",""0"""
"1,""M"",""3"",""7.5"",""120000"",""27"",""2"""
"1,""M"",""6"",""27"",""25000"",""20"",""2"""
"1,""M"",""16"",""4.5"",""85000"",""19"",""1"""
"1,""Z"",""6"",""3.5"",""35000"",""13"",""1"""
"0,""M"",""14"",""3.5"",""35000"",""15"",""0"""
"1,""Z"",""2"",""16.5"",""80000"",""14"",""1"""
"1,""M"",""7"",""10.5"",""255000"",""36"",""6"""
"1,""Z"",""9"",""27"",""60000"",""23"",""2"""
"1,""M"",""1"",""4"",""120000"",""29"",""0"""
"1,""Z"",""14"",""17"",""35000"",""16"",""2"""
"0,""M"",""6"",""17.5"",""5000"",""14"",""0"""
"1,""Z"",""7"",""16.5"",""120000"",""16"",""1"""
"1,""M"",""17"",""6.5"",""20000"",""12"",""1"""
"1,""M"",""9"",""20.5"",""85000"",""39"",""5"""
"1,""Z"",""4"",""22"",""30000"",""19"",""1"""
"1,""Z"",""2"",""2"",""80000"",""37"",""6"""
"1,""Z"",""20"",""7"",""40000"",""35"",""2"""
"0,""Z"",""14"",""11.5"",""20000"",""33"",""0"""
"1,""Z"",""8"",""18.5"",""105000"",""13"",""1"""
"1,""Z"",""7"",""24"",""40000"",""11"",""1"""
"1,""M"",""20"",""19.5"",""80000"",""22"",""1"""
"1,""M"",""1"",""5"",""120000"",""25"",""2"""
"1,""Z"",""14"",""10.5"",""115000"",""22"",""1"""
"0,""M"",""12"",""20.5"",""30000"",""32"",""0"""
"1,""Z"",""6"",""10"",""20000"",""28"",""1"""
"1,""M"",""9"",""23"",""40000"",""27"",""2"""
"0,""Z"",""2"",""14"",""245000"",""24"",""0"""
"0,""M"",""16"",""17"",""25000"",""8"",""0"""
"1,""M"",""17"",""6.5"",""80000"",""14"",""1"""
"1,""M"",""2"",""11.5"",""65000"",""27"",""1"""
"1,""M"",""16"",""13.5"",""105000"",""8"",""2"""
"1,""M"",""5"",""10"",""60000"",""12"",""1"""
"1,""Z"",""7"",""8"",""40000"",""11"",""2"""
"1,""M"",""2"",""6.5"",""275000"",""24"",""1"""
"1,""M"",""6"",""27"",""40000"",""20"",""0"""
"1,""Z"",""11"",""6"",""30000"",""36"",""6"""
"1,""M"",""16"",""10.5"",""60000"",""9"",""1"""
"1,""M"",""18"",""4"",""65000"",""13"",""1"""
"1,""Z"",""14"",""12"",""80000"",""16"",""1"""
"1,""Z"",""9"",""18"",""45000"",""16"",""4"""
"1,""Z"",""3"",""8"",""85000"",""23"",""1"""
"1,""Z"",""8"",""5.5"",""45000"",""18"",""3"""
"1,""M"",""14"",""4"",""55000"",""23"",""2"""
"1,""M"",""12"",""2.5"",""25000"",""34"",""2"""
"1,""Z"",""5"",""12"",""40000"",""19"",""4"""
"1,""Z"",""7"",""18"",""20000"",""23"",""1"""
"1,""Z"",""9"",""10"",""40000"",""25"",""1"""
"0,""Z"",""11"",""12"",""85000"",""5"",""0"""
"1,""Z"",""20"",""21.5"",""30000"",""8"",""1"""
"1,""Z"",""2"",""9"",""45000"",""40"",""6"""
"1,""Z"",""3"",""12.5"",""75000"",""28"",""4"""
"1,""M"",""16"",""18.5"",""35000"",""21"",""1"""
"1,""Z"",""17"",""20"",""35000"",""12"",""2"""
"1,""Z"",""8"",""22.5"",""40000"",""38"",""6"""
"1,""Z"",""17"",""19"",""20000"",""27"",""3"""
"0,""Z"",""21"",""17"",""35000"",""32"",""0"""
"1,""Z"",""10"",""7"",""80000"",""15"",""2"""
"1,""Z"",""4"",""14.5"",""35000"",""9"",""4"""
"1,""Z"",""19"",""18"",""80000"",""14"",""2"""
"1,""M"",""5"",""7"",""60000"",""25"",""2"""
"1,""Z"",""15"",""9.5"",""150000"",""28"",""3"""
"1,""Z"",""16"",""11.5"",""80000"",""18"",""1"""
"1,""M"",""2"",""12.5"",""40000"",""38"",""4"""
"1,""Z"",""9"",""15.5"",""45000"",""28"",""4"""
"0,""Z"",""14"",""10.5"",""25000"",""21"",""0"""
"1,""Z"",""2"",""16"",""85000"",""24"",""1"""
"1,""Z"",""7"",""23"",""105000"",""29"",""1"""
"1,""M"",""12"",""18.5"",""255000"",""34"",""4"""
"1,""M"",""18"",""17.5"",""35000"",""27"",""2"""
"1,""Z"",""1"",""7"",""30000"",""26"",""2"""
"1,""Z"",""3"",""20"",""80000"",""21"",""1"""
"0,""Z"",""14"",""18.5"",""85000"",""12"",""0"""
"1,""Z"",""19"",""10"",""65000"",""22"",""2"""
"1,""M"",""3"",""12"",""40000"",""27"",""2"""
"1,""Z"",""7"",""29"",""40000"",""20"",""4"""
"0,""Z"",""16"",""15.5"",""25000"",""25"",""0"""
"1,""Z"",""6"",""8"",""15000"",""27"",""2"""
"0,""Z"",""11"",""6.5"",""20000"",""23"",""0"""
"1,""Z"",""17"",""27"",""40000"",""16"",""3"""
"0,""Z"",""20"",""5"",""25000"",""17"",""0"""
"1,""Z"",""9"",""7.5"",""1e+05"",""8"",""1"""
"1,""Z"",""10"",""14"",""25000"",""31"",""2"""
"1,""M"",""4"",""24"",""45000"",""25"",""2"""
"1,""M"",""6"",""25"",""15000"",""10"",""0"""
"1,""Z"",""1"",""8.5"",""115000"",""15"",""2"""
"1,""Z"",""1"",""3.5"",""285000"",""8"",""1"""
"1,""M"",""2"",""10.5"",""45000"",""10"",""1"""
"1,""Z"",""17"",""16"",""35000"",""24"",""2"""
"1,""Z"",""17"",""9"",""145000"",""29"",""2"""
"0,""Z"",""9"",""27"",""20000"",""7"",""0"""
"1,""M"",""15"",""25"",""80000"",""19"",""1"""
"1,""Z"",""17"",""9"",""65000"",""10"",""1"""
"1,""M"",""3"",""5.5"",""15000"",""34"",""2"""
"1,""Z"",""14"",""4"",""45000"",""15"",""2"""
"1,""Z"",""19"",""9"",""35000"",""9"",""1"""
"1,""M"",""3"",""24.5"",""30000"",""27"",""2"""
"0,""M"",""12"",""4.5"",""65000"",""10"",""0"""
"1,""Z"",""18"",""19.5"",""120000"",""18"",""1"""
"0,""M"",""6"",""24"",""30000"",""11"",""0"""
"1,""M"",""15"",""10.5"",""55000"",""18"",""2"""
"1,""Z"",""1"",""13.5"",""85000"",""30"",""2"""
"1,""M"",""1"",""18.5"",""105000"",""14"",""0"""
"1,""Z"",""17"",""10.5"",""40000"",""18"",""1"""
"1,""M"",""20"",""7"",""295000"",""20"",""3"""
"1,""M"",""12"",""22.5"",""65000"",""22"",""1"""
"1,""Z"",""6"",""6.5"",""150000"",""19"",""2"""
"1,""M"",""19"",""1.5"",""145000"",""4"",""1"""
"1,""M"",""20"",""9.5"",""20000"",""15"",""2"""
"1,""M"",""13"",""9.5"",""40000"",""7"",""1"""
"1,""M"",""5"",""6.5"",""85000"",""25"",""3"""
"1,""M"",""12"",""27"",""145000"",""27"",""2"""
"1,""Z"",""12"",""7"",""125000"",""13"",""2"""
"1,""Z"",""9"",""16.5"",""60000"",""30"",""4"""
"1,""Z"",""15"",""6.5"",""55000"",""15"",""2"""
"1,""Z"",""5"",""27"",""40000"",""29"",""1"""
"1,""M"",""5"",""9.5"",""30000"",""24"",""2"""
"1,""M"",""20"",""14.5"",""80000"",""22"",""1"""
"0,""Z"",""17"",""27"",""80000"",""35"",""0"""
"1,""Z"",""11"",""4.5"",""85000"",""32"",""1"""
"1,""Z"",""17"",""27"",""20000"",""29"",""1"""
"0,""Z"",""13"",""11"",""105000"",""22"",""0"""
"1,""Z"",""13"",""13"",""80000"",""8"",""1"""
"0,""M"",""21"",""25"",""80000"",""15"",""0"""
"0,""Z"",""18"",""27"",""150000"",""14"",""0"""
"1,""M"",""2"",""13.5"",""85000"",""26"",""2"""
"1,""M"",""15"",""12"",""30000"",""25"",""1"""
"1,""Z"",""16"",""10.5"",""165000"",""16"",""4"""
"0,""M"",""6"",""13"",""85000"",""25"",""0"""
"1,""M"",""17"",""7.5"",""45000"",""14"",""1"""
"1,""M"",""12"",""4"",""40000"",""16"",""1"""
"1,""Z"",""15"",""16.5"",""85000"",""24"",""1"""
"1,""M"",""3"",""15"",""30000"",""29"",""4"""
"1,""M"",""1"",""25.5"",""30000"",""27"",""1"""
"1,""Z"",""3"",""6.5"",""45000"",""27"",""2"""
"1,""Z"",""17"",""13"",""55000"",""18"",""2"""
"1,""Z"",""21"",""8.5"",""60000"",""27"",""2"""
"1,""Z"",""7"",""12"",""75000"",""17"",""2"""
"1,""Z"",""1"",""14.5"",""1e+05"",""13"",""1"""
"1,""Z"",""10"",""21.5"",""125000"",""36"",""4"""
"1,""Z"",""18"",""6.5"",""40000"",""30"",""1"""
"1,""Z"",""10"",""11"",""285000"",""23"",""2"""
"0,""Z"",""15"",""6.5"",""75000"",""22"",""0"""
"1,""M"",""11"",""8.5"",""25000"",""20"",""3"""
"1,""Z"",""7"",""14"",""120000"",""22"",""1"""
"1,""Z"",""9"",""23"",""1e+05"",""9"",""1"""
"0,""M"",""2"",""5"",""95000"",""23"",""0"""
"1,""M"",""8"",""18.5"",""80000"",""14"",""1"""
"1,""Z"",""14"",""4"",""15000"",""19"",""1"""
"0,""M"",""9"",""25"",""60000"",""26"",""0"""
"1,""M"",""20"",""7.5"",""40000"",""23"",""4"""
"1,""Z"",""5"",""5.5"",""120000"",""12"",""1"""
"1,""M"",""3"",""15"",""125000"",""19"",""3"""
"1,""Z"",""2"",""24"",""45000"",""34"",""2"""
"1,""M"",""11"",""17.5"",""80000"",""38"",""6"""
"1,""Z"",""4"",""16.5"",""60000"",""31"",""1"""
"0,""Z"",""17"",""27"",""120000"",""13"",""0"""
"1,""M"",""9"",""4"",""40000"",""31"",""2"""
"0,""Z"",""7"",""23.5"",""275000"",""19"",""0"""
"0,""Z"",""10"",""13"",""65000"",""19"",""0"""
"1,""M"",""18"",""13"",""25000"",""18"",""2"""
"1,""M"",""19"",""10"",""20000"",""25"",""3"""
"1,""Z"",""20"",""23"",""40000"",""29"",""1"""
"1,""Z"",""4"",""14"",""175000"",""17"",""2"""
"0,""Z"",""16"",""13"",""45000"",""5"",""0"""
"0,""Z"",""11"",""17.5"",""60000"",""16"",""0"""
"1,""M"",""12"",""19"",""225000"",""16"",""1"""
"1,""Z"",""4"",""17.5"",""40000"",""14"",""1"""
"1,""M"",""19"",""27"",""40000"",""27"",""3"""
"1,""Z"",""13"",""19"",""80000"",""13"",""1"""
"1,""Z"",""5"",""9"",""105000"",""24"",""1"""
"1,""Z"",""1"",""6.5"",""80000"",""38"",""6"""
"1,""M"",""15"",""8"",""45000"",""33"",""3"""
"0,""Z"",""11"",""10.5"",""20000"",""35"",""0"""
"1,""Z"",""10"",""7.5"",""30000"",""32"",""3"""
"1,""M"",""8"",""6"",""35000"",""20"",""1"""
"1,""M"",""1"",""7"",""285000"",""19"",""0"""
"1,""M"",""1"",""4.5"",""230000"",""9"",""2"""
"0,""Z"",""5"",""8"",""45000"",""15"",""0"""
"1,""Z"",""19"",""10"",""30000"",""25"",""2"""
"0,""M"",""1"",""8.5"",""290000"",""20"",""0"""
"1,""M"",""9"",""6.5"",""230000"",""30"",""3"""
"1,""M"",""7"",""24"",""15000"",""26"",""1"""
"1,""M"",""19"",""17.5"",""45000"",""21"",""2"""
"1,""Z"",""18"",""8"",""60000"",""25"",""1"""
"0,""M"",""20"",""4.5"",""30000"",""13"",""0"""
"1,""M"",""1"",""14.5"",""5000"",""29"",""2"""
"1,""M"",""12"",""6.5"",""80000"",""19"",""1"""
"0,""Z"",""18"",""10"",""120000"",""15"",""0"""
"1,""M"",""1"",""16.5"",""15000"",""17"",""2"""
"1,""Z"",""17"",""6.5"",""25000"",""13"",""1"""
"0,""M"",""15"",""6.5"",""40000"",""9"",""0"""
"1,""Z"",""3"",""15"",""20000"",""19"",""1"""
"1,""Z"",""1"",""16.5"",""250000"",""27"",""2"""
"0,""M"",""4"",""25"",""35000"",""14"",""0"""
"1,""Z"",""4"",""4"",""30000"",""20"",""1"""
"1,""Z"",""12"",""11.5"",""25000"",""28"",""3"""
"0,""Z"",""19"",""25"",""20000"",""23"",""0"""
"1,""Z"",""21"",""4"",""175000"",""20"",""5"""
"0,""Z"",""13"",""14"",""30000"",""14"",""0"""
"1,""Z"",""21"",""5"",""80000"",""18"",""4"""
"1,""M"",""15"",""14.5"",""80000"",""40"",""5"""
"1,""M"",""10"",""13"",""80000"",""13"",""3"""
"1,""M"",""1"",""8.5"",""105000"",""22"",""2"""
"1,""M"",""17"",""10"",""145000"",""26"",""2"""
"0,""Z"",""6"",""6"",""45000"",""21"",""0"""
"1,""M"",""15"",""26"",""275000"",""31"",""1"""
"0,""Z"",""4"",""20.5"",""150000"",""23"",""0"""
"1,""Z"",""21"",""19.5"",""85000"",""17"",""4"""
"1,""Z"",""3"",""18"",""120000"",""19"",""3"""
"0,""Z"",""12"",""6"",""75000"",""12"",""0"""
"1,""Z"",""1"",""9"",""15000"",""7"",""1"""
"1,""Z"",""5"",""7"",""80000"",""31"",""4"""
"1,""Z"",""18"",""7.5"",""60000"",""23"",""1"""
"1,""M"",""18"",""6"",""120000"",""34"",""2"""
